City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,289.36,97,100,2.24,ZA,1681025653
1,poum,-20.2333,164.0167,299.63,70,2,3.35,NC,1681025653
2,constitucion,-35.3333,-72.4167,285.92,56,6,3.1,CL,1681025654
3,kavieng,-2.5744,150.7967,299.49,83,100,3.5,PG,1681025654
4,kawalu,-7.3817,108.2082,300.73,72,98,2.63,ID,1681025655
5,nikolskoye,59.7035,30.7861,280.09,83,91,2.05,RU,1681025655
6,alappuzha,9.49,76.3264,306.48,66,21,5.51,IN,1681025455
7,ushuaia,-54.8,-68.3,274.96,87,40,6.69,AR,1681025656
8,college,64.8569,-147.8028,262.36,80,100,4.63,US,1681025656
9,acapulco,16.8634,-99.8901,298.05,73,0,1.03,MX,1681025563
10,rio grande,-32.035,-52.0986,293.28,74,16,3.48,BR,1681025656
11,hilo,19.7297,-155.09,296.08,91,0,2.57,US,1681025572
12,cape town,-33.9258,18.4232,292.66,65,0,3.13,ZA,1681025646
13,kintampo,8.0563,-1.7306,299.73,66,99,2.44,GH,1681025657
14,sovetskiy,61.3614,63.5842,274.75,87,47,5.59,RU,1681025658
15,punta arenas,-53.15,-70.9167,275.21,87,20,15.95,CL,1681025551
16,cruzeiro do sul,-29.5128,-51.9853,292.08,94,100,0.23,BR,1681025658
17,burnie,-41.0667,145.9167,284.79,51,11,5.0,AU,1681025659
18,gallipoli,40.4103,26.6708,285.07,73,37,6.92,TR,1681025659
19,gasa,31.5,34.4667,305.31,25,87,4.74,PS,1681025660
20,portland,45.5234,-122.6762,285.27,78,100,4.63,US,1681025106
21,yarada,17.65,83.2667,308.33,41,0,3.6,IN,1681025660
22,rikitea,-23.1203,-134.9692,297.86,62,29,5.09,PF,1681025408
23,hobart,-42.8794,147.3294,283.07,71,40,8.75,AU,1681025390
24,puerto ayora,-0.7393,-90.3518,298.46,95,5,0.45,EC,1681025661
25,georgetown,5.4112,100.3354,308.12,49,20,5.66,MY,1681025515
26,upernavik,72.7868,-56.1549,251.94,95,100,5.58,GL,1681025661
27,amlagora,22.8333,87.3333,312.7,10,1,2.77,IN,1681025662
28,barrow,71.2906,-156.7887,242.16,76,0,3.6,US,1681025662
29,busselton,-33.65,115.3333,293.5,60,53,4.77,AU,1681025662
30,chuy,-33.6971,-53.4616,288.7,88,0,1.71,UY,1681025663
31,chokurdakh,70.6333,147.9167,254.21,83,9,5.47,RU,1681025663
32,victoria,22.2855,114.1577,298.26,74,84,0.89,HK,1681025424
33,vaini,-21.2,-175.2,298.24,94,20,2.06,TO,1681025664
34,prainha,-1.8,-53.48,296.31,92,100,0.86,BR,1681025664
35,canavieiras,-15.675,-38.9472,297.91,88,98,1.36,BR,1681025665
36,mitsamiouli,-11.3847,43.2844,301.99,70,23,1.83,KM,1681025665
37,illapel,-31.6308,-71.1653,291.54,57,0,0.73,CL,1681025546
38,kodinsk,58.6881,99.1844,269.97,74,100,3.21,RU,1681025666
39,mataura,-46.1927,168.8643,285.64,81,100,2.55,NZ,1681025666
40,atuona,-9.8,-139.0333,300.25,75,18,6.47,PF,1681025666
41,albany,42.6001,-73.9662,275.01,51,43,1.64,US,1681025401
42,bilibino,68.0546,166.4372,251.59,88,10,2.87,RU,1681025667
43,coari,-4.085,-63.1414,295.76,99,100,1.15,BR,1681025668
44,victoriaville,46.0501,-71.9658,268.97,98,82,1.64,CA,1681025436
45,provideniya,64.3833,-173.3,253.12,96,100,2.56,RU,1681025668
46,whitehorse,60.7161,-135.0538,276.58,60,40,7.2,CA,1681025669
47,muriwai beach,-36.8167,174.45,293.35,93,97,5.95,NZ,1681025669
48,matamoros,25.5333,-103.25,291.54,60,23,2.13,MX,1681025669
49,saldanha,-33.0117,17.9442,288.18,70,0,5.62,ZA,1681025670
50,manavalakurichi,8.1333,77.3,303.32,65,84,5.43,IN,1681025670
51,vanimo,-2.6741,141.3028,298.86,82,100,0.68,PG,1681025670
52,longonjo,-12.9067,15.2533,295.44,65,97,1.44,AO,1681025671
53,porto novo,6.4965,2.6036,298.05,77,100,1.24,BJ,1681025672
54,cidreira,-30.1811,-50.2056,294.3,83,93,5.75,BR,1681025672
55,mogadishu,2.0371,45.3438,302.08,84,75,6.17,SO,1681025672
56,sitka,57.0531,-135.33,278.09,75,100,5.14,US,1681025673
57,bluff,-46.6,168.3333,285.82,79,100,5.72,NZ,1681025673
58,santa maria do para,-1.3503,-47.5756,295.27,97,100,1.12,BR,1681025675
59,iqaluit,63.7506,-68.5145,246.0,76,0,4.12,CA,1681025676
60,khasan,42.4308,130.6434,281.0,65,48,2.54,RU,1681025677
61,longyearbyen,78.2186,15.6401,270.06,93,100,1.54,SJ,1681025677
62,guerrero negro,27.9769,-114.0611,286.43,92,1,4.06,MX,1681025677
